year,month,average_ppb,average_ppm,average_unc
1979,1,336560,336.56,0.1
1979,2,337290,337.29,0.09
1979,3,337880,337.88,0.1
1979,4,338320,338.32,0.11
1979,5,338260,338.26,0.04
1979,6,337380,337.38,0.17
1979,7,335560,335.56,0.27
1979,8,334370,334.37,0.29
1979,9,335020,335.02,0.2
1979,10,336360,336.36,0.22
1979,11,337360,337.36,0.17
1979,12,337850,337.85,0.12
1980,1,338550,338.55,0.12
1980,2,339260,339.26,0.08
1980,3,339590,339.59,0.07
1980,4,339990,339.99,0.07
1980,5,340440,340.44,0.09
1980,6,339990,339.99,0.09
1980,7,338440,338.44,0.17
1980,8,337210,337.21,0.19
1980,9,337050,337.05,0.11
1980,10,337830,337.83,0.07
1980,11,338930,338.93,0.06
1980,12,339640,339.64,0.08
1981,1,340180,340.18,0.1
1981,2,340750,340.75,0.11
1981,3,341380,341.38,0.11
1981,4,341680,341.68,0.08
1981,5,341430,341.43,0.07
1981,6,340630,340.63,0.1
1981,7,339230,339.23,0.14
1981,8,338080,338.08,0.16
1981,9,337970,337.97,0.11
1981,10,339070,339.07,0.09
1981,11,340180,340.18,0.11
1981,12,340750,340.75,0.09
1982,1,341370,341.37,0.08
1982,2,341950,341.95,0.08
1982,3,342230,342.23,0.07
1982,4,342520,342.52,0.07
1982,5,342360,342.36,0.06
1982,6,341490,341.49,0.03
1982,7,339750,339.75,0.08
1982,8,338110,338.11,0.1
1982,9,338160,338.16,0.07
1982,10,339620,339.62,0.05
1982,11,340950,340.95,0.06
1982,12,341770,341.77,0.06
1983,1,342370,342.37,0.05
1983,2,342740,342.74,0.07
1983,3,343030,343.03,0.07
1983,4,343510,343.51,0.05
1983,5,343840,343.84,0.09
1983,6,343500,343.5,0.08
1983,7,342140,342.14,0.14
1983,8,340630,340.63,0.15
1983,9,340540,340.54,0.07
1983,10,341750,341.75,0.11
1983,11,342820,342.82,0.12
1983,12,343490,343.49,0.11
1984,1,344320,344.32,0.06
1984,2,344820,344.82,0.05
1984,3,344960,344.96,0.07
1984,4,345190,345.19,0.12
1984,5,345330,345.33,0.1
1984,6,344570,344.57,0.05
1984,7,343200,343.2,0.1
1984,8,342210,342.21,0.15
1984,9,342130,342.13,0.13
1984,10,342990,342.99,0.12
1984,11,344160,344.16,0.13
1984,12,345000,345,0.11
1985,1,345360,345.36,0.1
1985,2,345810,345.81,0.1
1985,3,346650,346.65,0.12
1985,4,346940,346.94,0.12
1985,5,346780,346.78,0.1
1985,6,346270,346.27,0.11
1985,7,344930,344.93,0.13
1985,8,343420,343.42,0.13
1985,9,343370,343.37,0.09
1985,10,344650,344.65,0.06
1985,11,345790,345.79,0.08
1985,12,346540,346.54,0.08
1986,1,347110,347.11,0.1
1986,2,347340,347.34,0.12
1986,3,347710,347.71,0.14
1986,4,348220,348.22,0.15
1986,5,348320,348.32,0.13
1986,6,347750,347.75,0.09
1986,7,346290,346.29,0.15
1986,8,344910,344.91,0.12
1986,9,344860,344.86,0.09
1986,10,346040,346.04,0.14
1986,11,347300,347.3,0.16
1986,12,347760,347.76,0.12
1987,1,348000,348,0.11
1987,2,348550,348.55,0.12
1987,3,349270,349.27,0.1
1987,4,349960,349.96,0.12
1987,5,350230,350.23,0.15
1987,6,349470,349.47,0.12
1987,7,347890,347.89,0.15
1987,8,346650,346.65,0.17
1987,9,346690,346.69,0.11
1987,10,347960,347.96,0.12
1987,11,349250,349.25,0.13
1987,12,350190,350.19,0.12
1988,1,350910,350.91,0.1
1988,2,351470,351.47,0.08
1988,3,351850,351.85,0.1
1988,4,352300,352.3,0.12
1988,5,352460,352.46,0.12
1988,6,351760,351.76,0.1
1988,7,350280,350.28,0.13
1988,8,349090,349.09,0.14
1988,9,349270,349.27,0.1
1988,10,350440,350.44,0.08
1988,11,351610,351.61,0.07
1988,12,352460,352.46,0.08
1989,1,353000,353,0.08
1989,2,353460,353.46,0.09
1989,3,354000,354,0.1
1989,4,354380,354.38,0.09
1989,5,354190,354.19,0.1
1989,6,353260,353.26,0.09
1989,7,351560,351.56,0.12
1989,8,350210,350.21,0.14
1989,9,350560,350.56,0.09
1989,10,351850,351.85,0.1
1989,11,353030,353.03,0.1
1989,12,353900,353.9,0.09
1990,1,354450,354.45,0.13
1990,2,354870,354.87,0.15
1990,3,355190,355.19,0.12
1990,4,355500,355.5,0.09
1990,5,355390,355.39,0.08
1990,6,354300,354.3,0.09
1990,7,352700,352.7,0.1
1990,8,351600,351.6,0.12
1990,9,351800,351.8,0.08
1990,10,353180,353.18,0.08
1990,11,354440,354.44,0.11
1990,12,355180,355.18,0.07
1991,1,355750,355.75,0.08
1991,2,356180,356.18,0.08
1991,3,356690,356.69,0.08
1991,4,357200,357.2,0.1
1991,5,357100,357.1,0.1
1991,6,356170,356.17,0.08
1991,7,354540,354.54,0.12
1991,8,353030,353.03,0.14
1991,9,352900,352.9,0.09
1991,10,354010,354.01,0.1
1991,11,355160,355.16,0.11
1991,12,355950,355.95,0.11
1992,1,356530,356.53,0.08
1992,2,356900,356.9,0.09
1992,3,357270,357.27,0.09
1992,4,357760,357.76,0.09
1992,5,357830,357.83,0.1
1992,6,356870,356.87,0.08
1992,7,355180,355.18,0.12
1992,8,353680,353.68,0.11
1992,9,353590,353.59,0.14
1992,10,354810,354.81,0.1
1992,11,355990,355.99,0.09
1992,12,356750,356.75,0.1
1993,1,357210,357.21,0.1
1993,2,357560,357.56,0.1
1993,3,357960,357.96,0.1
1993,4,358420,358.42,0.1
1993,5,358380,358.38,0.14
1993,6,357350,357.35,0.11
1993,7,355730,355.73,0.15
1993,8,354440,354.44,0.15
1993,9,354470,354.47,0.08
1993,10,355710,355.71,0.09
1993,11,356950,356.95,0.09
1993,12,357850,357.85,0.11
1994,1,358480,358.48,0.11
1994,2,359020,359.02,0.11
1994,3,359360,359.36,0.09
1994,4,359710,359.71,0.09
1994,5,359740,359.74,0.13
1994,6,358810,358.81,0.1
1994,7,357280,357.28,0.09
1994,8,356050,356.05,0.11
1994,9,356010,356.01,0.08
1994,10,357260,357.26,0.09
1994,11,358690,358.69,0.11
1994,12,359550,359.55,0.12
1995,1,360150,360.15,0.09
1995,2,360630,360.63,0.1
1995,3,361090,361.09,0.09
1995,4,361550,361.55,0.08
1995,5,361470,361.47,0.09
1995,6,360610,360.61,0.08
1995,7,359000,359,0.08
1995,8,357730,357.73,0.1
1995,9,358060,358.06,0.08
1995,10,359430,359.43,0.08
1995,11,360770,360.77,0.06
1995,12,361650,361.65,0.06
1996,1,362140,362.14,0.06
1996,2,362500,362.5,0.09
1996,3,362820,362.82,0.1
1996,4,363140,363.14,0.09
1996,5,363290,363.29,0.08
1996,6,362880,362.88,0.06
1996,7,361570,361.57,0.07
1996,8,360070,360.07,0.09
1996,9,359700,359.7,0.09
1996,10,360670,360.67,0.07
1996,11,361780,361.78,0.07
1996,12,362630,362.63,0.06
1997,1,363280,363.28,0.06
1997,2,363650,363.65,0.09
1997,3,364030,364.03,0.1
1997,4,364510,364.51,0.11
1997,5,364510,364.51,0.1
1997,6,363600,363.6,0.08
1997,7,361930,361.93,0.11
1997,8,360410,360.41,0.11
1997,9,360410,360.41,0.06
1997,10,361940,361.94,0.06
1997,11,363610,363.61,0.08
1997,12,364680,364.68,0.09
1998,1,365190,365.19,0.08
1998,2,365460,365.46,0.1
1998,3,365930,365.93,0.11
1998,4,366580,366.58,0.08
1998,5,366860,366.86,0.08
1998,6,366260,366.26,0.07
1998,7,364840,364.84,0.09
1998,8,363790,363.79,0.09
1998,9,364040,364.04,0.06
1998,10,365340,365.34,0.08
1998,11,366600,366.6,0.07
1998,12,367470,367.47,0.07
1999,1,368120,368.12,0.11
1999,2,368520,368.52,0.15
1999,3,368910,368.91,0.13
1999,4,369300,369.3,0.11
1999,5,369210,369.21,0.11
1999,6,368360,368.36,0.09
1999,7,366690,366.69,0.12
1999,8,365330,365.33,0.14
1999,9,365440,365.44,0.1
1999,10,366750,366.75,0.09
1999,11,368050,368.05,0.08
1999,12,368880,368.88,0.09
2000,1,369410,369.41,0.12
2000,2,369680,369.68,0.14
2000,3,370000,370,0.14
2000,4,370370,370.37,0.13
2000,5,370250,370.25,0.1
2000,6,369310,369.31,0.06
2000,7,367910,367.91,0.11
2000,8,366750,366.75,0.12
2000,9,366700,366.7,0.09
2000,10,367920,367.92,0.08
2000,11,369290,369.29,0.1
2000,12,370110,370.11,0.1
2001,1,370680,370.68,0.1
2001,2,371180,371.18,0.12
2001,3,371590,371.59,0.12
2001,4,371900,371.9,0.08
2001,5,371800,371.8,0.06
2001,6,370850,370.85,0.05
2001,7,369460,369.46,0.1
2001,8,368320,368.32,0.1
2001,9,368360,368.36,0.07
2001,10,369720,369.72,0.08
2001,11,371050,371.05,0.09
2001,12,371970,371.97,0.11
2002,1,372530,372.53,0.08
2002,2,372920,372.92,0.08
2002,3,373370,373.37,0.09
2002,4,373720,373.72,0.11
2002,5,373700,373.7,0.08
2002,6,372840,372.84,0.05
2002,7,371410,371.41,0.07
2002,8,370370,370.37,0.08
2002,9,370690,370.69,0.08
2002,10,371960,371.96,0.08
2002,11,373290,373.29,0.08
2002,12,374270,374.27,0.09
2003,1,374950,374.95,0.07
2003,2,375480,375.48,0.09
2003,3,375920,375.92,0.08
2003,4,376390,376.39,0.07
2003,5,376510,376.51,0.08
2003,6,375680,375.68,0.07
2003,7,374160,374.16,0.08
2003,8,372940,372.94,0.11
2003,9,373110,373.11,0.09
2003,10,374400,374.4,0.09
2003,11,375680,375.68,0.08
2003,12,376530,376.53,0.06
2004,1,377210,377.21,0.07
2004,2,377730,377.73,0.1
2004,3,378160,378.16,0.09
2004,4,378480,378.48,0.09
2004,5,378400,378.4,0.11
2004,6,377510,377.51,0.07
2004,7,375960,375.96,0.08
2004,8,374490,374.49,0.12
2004,9,374390,374.39,0.1
2004,10,375730,375.73,0.08
2004,11,377200,377.2,0.1
2004,12,378170,378.17,0.08
2005,1,378730,378.73,0.09
2005,2,379190,379.19,0.11
2005,3,379820,379.82,0.1
2005,4,380310,380.31,0.07
2005,5,380430,380.43,0.08
2005,6,379610,379.61,0.06
2005,7,377950,377.95,0.08
2005,8,376730,376.73,0.11
2005,9,376770,376.77,0.07
2005,10,378080,378.08,0.09
2005,11,379540,379.54,0.11
2005,12,380520,380.52,0.1
2006,1,381330,381.33,0.07
2006,2,381950,381.95,0.08
2006,3,382320,382.32,0.1
2006,4,382650,382.65,0.09
2006,5,382610,382.61,0.09
2006,6,381740,381.74,0.06
2006,7,380070,380.07,0.07
2006,8,378490,378.49,0.12
2006,9,378610,378.61,0.09
2006,10,380040,380.04,0.09
2006,11,381410,381.41,0.07
2006,12,382380,382.38,0.06
2007,1,383030,383.03,0.07
2007,2,383540,383.54,0.09
2007,3,384020,384.02,0.1
2007,4,384280,384.28,0.1
2007,5,384120,384.12,0.07
2007,6,383260,383.26,0.05
2007,7,381550,381.55,0.1
2007,8,380300,380.3,0.09
2007,9,380690,380.69,0.08
2007,10,382100,382.1,0.08
2007,11,383450,383.45,0.07
2007,12,384460,384.46,0.07
2008,1,385220,385.22,0.07
2008,2,385740,385.74,0.09
2008,3,386150,386.15,0.09
2008,4,386540,386.54,0.08
2008,5,386490,386.49,0.09
2008,6,385570,385.57,0.06
2008,7,384080,384.08,0.1
2008,8,382760,382.76,0.1
2008,9,382540,382.54,0.06
2008,10,383660,383.66,0.07
2008,11,385170,385.17,0.07
2008,12,386270,386.27,0.07
2009,1,387030,387.03,0.08
2009,2,387480,387.48,0.09
2009,3,387710,387.71,0.09
2009,4,387990,387.99,0.09
2009,5,387950,387.95,0.06
2009,6,386960,386.96,0.05
2009,7,385010,385.01,0.16
2009,8,383630,383.63,0.16
2009,9,383930,383.93,0.09
2009,10,385490,385.49,0.1
2009,11,386940,386.94,0.09
2009,12,387840,387.84,0.08
2010,1,388620,388.62,0.08
2010,2,389330,389.33,0.11
2010,3,389680,389.68,0.1
2010,4,389980,389.98,0.13
2010,5,389950,389.95,0.16
2010,6,389010,389.01,0.13
2010,7,387350,387.35,0.16
2010,8,386230,386.23,0.11
2010,9,386700,386.7,0.1
2010,10,388250,388.25,0.1
2010,11,389620,389.62,0.11
2010,12,390360,390.36,0.09
2011,1,390930,390.93,0.08
2011,2,391350,391.35,0.08
2011,3,391670,391.67,0.09
2011,4,392050,392.05,0.1
2011,5,392070,392.07,0.1
2011,6,391130,391.13,0.08
2011,7,389190,389.19,0.19
2011,8,387860,387.86,0.19
2011,9,388260,388.26,0.13
2011,10,389830,389.83,0.13
2011,11,391210,391.21,0.11
2011,12,392040,392.04,0.1
2012,1,392610,392.61,0.1
2012,2,393210,393.21,0.16
2012,3,393730,393.73,0.15
2012,4,393990,393.99,0.11
2012,5,393880,393.88,0.1
2012,6,392840,392.84,0.07
2012,7,391000,391,0.12
2012,8,389890,389.89,0.16
2012,9,390550,390.55,0.11
2012,10,392160,392.16,0.13
2012,11,393560,393.56,0.1
2012,12,394390,394.39,0.08
2013,1,395070,395.07,0.09
2013,2,395700,395.7,0.15
2013,3,396290,396.29,0.12
2013,4,396740,396.74,0.09
2013,5,396750,396.75,0.11
2013,6,395950,395.95,0.08
2013,7,394460,394.46,0.21
2013,8,393230,393.23,0.16
2013,9,393200,393.2,0.1
2013,10,394500,394.5,0.11
2013,11,395960,395.96,0.09
2013,12,396870,396.87,0.08
2014,1,397510,397.51,0.08
2014,2,397970,397.97,0.08
2014,3,398270,398.27,0.07
2014,4,398630,398.63,0.06
2014,5,398690,398.69,0.06
2014,6,397720,397.72,0.09
2014,7,396130,396.13,0.14
2014,8,395020,395.02,0.14
2014,9,395120,395.12,0.1
2014,10,396380,396.38,0.1
2014,11,397860,397.86,0.08
2014,12,398840,398.84,0.08
2015,1,399560,399.56,0.07
2015,2,400120,400.12,0.07
2015,3,400570,400.57,0.07
2015,4,400960,400.96,0.07
2015,5,400910,400.91,0.1
2015,6,400060,400.06,0.1
2015,7,398370,398.37,0.1
2015,8,397060,397.06,0.14
2015,9,397340,397.34,0.08
2015,10,398800,398.8,0.12
2015,11,400370,400.37,0.12
2015,12,401660,401.66,0.11
2016,1,402640,402.64,0.08
2016,2,403270,403.27,0.08
2016,3,403860,403.86,0.07
2016,4,404390,404.39,0.07
2016,5,404450,404.45,0.1
2016,6,403660,403.66,0.1
2016,7,402110,402.11,0.09
2016,8,400800,400.8,0.1
2016,9,400990,400.99,0.11
2016,10,402420,402.42,0.1
2016,11,403780,403.78,0.1
2016,12,404690,404.69,0.09
2017,1,405320,405.32,0.08
2017,2,405910,405.91,0.1
2017,3,406320,406.32,0.1
2017,4,406610,406.61,0.11
2017,5,406650,406.65,0.16
2017,6,405860,405.86,0.13
2017,7,404110,404.11,0.08
2017,8,402570,402.57,0.14
2017,9,402660,402.66,0.14
2017,10,404160,404.16,0.09
2017,11,405700,405.7,0.08
2017,12,406750,406.75,0.07
2018,1,407560,407.56,0.11
2018,2,408240,408.24,0.11
2018,3,408770,408.77,0.09
2018,4,409080,409.08,0.09
2018,5,408940,408.94,0.1
2018,6,408060,408.06,0.09
2018,7,406470,406.47,0.08
2018,8,405100,405.1,0.12
2018,9,405170,405.17,0.11
2018,10,406650,406.65,0.09
2018,11,408130,408.13,0.09
2018,12,409180,409.18,0.08
2019,1,409920,409.92,0.11
2019,2,410350,410.35,0.12
2019,3,410890,410.89,0.12
2019,4,411330,411.33,0.11
2019,5,411340,411.34,0.09
2019,6,410530,410.53,0.07
2019,7,408880,408.88,0.11
2019,8,407650,407.65,0.12
2019,9,407920,407.92,0.11
2019,10,409440,409.44,0.11
2019,11,410870,410.87,0.1
2019,12,411760,411.76,0.09
2020,1,412430,412.43,0.08
2020,2,412950,412.95,0.1
2020,3,413440,413.44,0.1
2020,4,413860,413.86,0.09
2020,5,413810,413.81,0.09
2020,6,412880,412.88,0.11
2020,7,411170,411.17,0.11
2020,8,409730,409.73,0.13
2020,9,410000,410,0.13
2020,10,411660,411.66,0.14
2020,11,413250,413.25,0.11
2020,12,414140,414.14,0.08
2021,1,414740,414.74,0.11
2021,2,415210,415.21,0.13
2021,3,415510,415.51,0.12
2021,4,415820,415.82,0.12
2021,5,416010,416.01,0.12
2021,6,415200,415.2,0.06
2021,7,413450,413.45,0.08
2021,8,412160,412.16,0.07
2021,9,412380,412.38,0.07
2021,10,413840,413.84,0.09
2021,11,415590,415.59,0.1
2021,12,416610,416.61,0.1
2022,1,417210,417.21,0.08
2022,2,417670,417.67,0.1
2022,3,418050,418.05,0.1
2022,4,418420,418.42,0.1
2022,5,418410,418.41,0.1
2022,6,417500,417.5,0.1
2022,7,415820,415.82,0.1
2022,8,414460,414.46,0.1
2022,9,414590,414.59,0.1
2022,10,416120,416.12,0.1
2022,11,417720,417.72,0.1
2022,12,418750,418.75,0.1
2023,1,419370,419.37,0.1
2023,2,419720,419.72,0.1
2023,3,420130,420.13,0.1
